NodoDa;NodoA;AGV;TotaleConsumoNodo;Cont;MediaConsumoNodo;ConsumoMin;ConsumoMax;
0;5;3;0,88;1931;0,00046;0;0,133;
0;91;6;8,582;1;8,582;8,582;8,582;
0;324;4;1,016;1;1,016;1,016;1,016;
0;490;5;10;1;10;10;10;
0;565;2;1,11;1;1,11;1,11;1,11;
0;568;2;0,265;1;0,265;0,265;0,265;
0;583;4;0,213;1;0,213;0,213;0,213;
5;15;2;0,548;4;0,137;0;0,448;
5;15;4;0,244;9;0,02711;0;0,078;
6;16;4;7,788;30;0,2596;0;7,648;
6;16;6;0,715;3;0,23833;0,001;0,634;
8;18;2;0,542;7;0,07743;0;0,308;
11;111;4;0,022;2;0,011;0,011;0,011;
15;5;2;0,011;1;0,011;0,011;0,011;
15;5;4;0,051;3;0,017;0,012;0,02;
15;115;2;3,812;2;1,906;0,21;3,602;
15;115;4;0,606;5;0,1212;0,065;0,193;
16;6;4;0,011;1;0,011;0,011;0,011;
16;6;6;0,011;1;0,011;0,011;0,011;
16;116;4;0,202;2;0,101;0,054;0,148;
16;116;6;0,079;2;0,0395;0,011;0,068;
18;8;2;1,624;2;0,812;0,019;1,605;
18;118;2;0,553;7;0,079;-0,004;0,276;
18;118;4;0,316;1;0,316;0,316;0,316;
25;24;1;0;1;0;0;0;
50;16;4;0,019;1;0,019;0,019;0,019;
50;16;6;0,046;2;0,023;0,023;0,023;
51;15;2;0,024;1;0,024;0,024;0,024;
51;15;4;0,088;3;0,02933;0,027;0,031;
51;50;4;0,018;1;0,018;0,018;0,018;
51;50;6;0,045;2;0,0225;0,022;0,023;
52;51;2;0,015;1;0,015;0,015;0,015;
52;51;4;0,056;4;0,014;0,013;0,015;
52;51;6;0,029;2;0,0145;0,014;0,015;
53;52;2;0,021;1;0,021;0,021;0,021;
53;52;4;0,08;4;0,02;0,018;0,021;
53;52;6;0,045;2;0,0225;0,021;0,024;
54;53;2;0,009;1;0,009;0,009;0,009;
54;53;4;0,032;4;0,008;0,007;0,009;
54;53;6;0,014;2;0,007;0,004;0,01;
55;54;2;0,006;1;0,006;0,006;0,006;
55;54;4;0,023;4;0,00575;0,005;0,006;
55;54;6;0,013;2;0,0065;0,006;0,007;
56;11;4;0,022;2;0,011;0,009;0,013;
56;55;2;0,004;1;0,004;0,004;0,004;
56;55;4;0,01;3;0,00333;0,003;0,004;
57;56;2;0,013;1;0,013;0,013;0,013;
57;56;4;0,058;6;0,00967;0,005;0,012;
57;56;6;0,021;2;0,0105;0,01;0,011;
58;57;2;1,383;1;1,383;1,383;1,383;
58;57;4;0,142;6;0,02367;0,005;0,107;
58;57;6;0,014;2;0,007;0,007;0,007;
59;58;2;0,006;1;0,006;0,006;0,006;
59;58;4;0,051;6;0,0085;0,003;0,013;
59;58;6;0,024;2;0,012;0,012;0,012;
59;104;4;0,218;2;0,109;0,01;0,208;
59;104;5;0,07;1;0,07;0,07;0,07;
59;104;6;0,032;2;0,016;0,011;0,021;
60;59;2;0,01;1;0,01;0,01;0,01;
60;59;4;0,065;4;0,01625;0,009;0,031;
60;59;5;0,015;1;0,015;0,015;0,015;
60;59;6;0,029;2;0,0145;0,014;0,015;
61;60;2;0,012;1;0,012;0,012;0,012;
61;60;4;0,042;4;0,0105;0,01;0,011;
61;60;5;0,011;1;0,011;0,011;0,011;
61;60;6;0,027;2;0,0135;0,012;0,015;
62;61;2;0,113;5;0,0226;0,004;0,079;
62;61;4;0,02;4;0,005;0,003;0,006;
62;61;5;0,007;1;0,007;0,007;0,007;
62;61;6;0,003;1;0,003;0,003;0,003;
63;62;4;0,023;4;0,00575;0,005;0,007;
63;62;5;0,005;1;0,005;0,005;0,005;
63;62;6;0,015;2;0,0075;0,007;0,008;
64;63;4;0,034;4;0,0085;0,007;0,01;
64;63;5;0,009;1;0,009;0,009;0,009;
64;63;6;0,018;2;0,009;0,009;0,009;
65;18;2;0,064;2;0,032;0,01;0,054;
65;62;2;0,015;1;0,015;0,015;0,015;
65;64;4;0,017;4;0,00425;0,003;0,005;
65;64;6;0,01;2;0,005;0,005;0,005;
66;65;2;0,091;3;0,03033;0,022;0,044;
66;65;4;0,077;4;0,01925;0,017;0,022;
66;65;5;0,023;1;0,023;0,023;0,023;
66;65;6;0,058;2;0,029;0,017;0,041;
67;66;2;0,041;3;0,01367;0,011;0,018;
67;66;4;0,063;4;0,01575;0,011;0,021;
67;66;5;0,012;1;0,012;0,012;0,012;
67;66;6;0,024;2;0,012;0,012;0,012;
68;67;2;0,054;3;0,018;0,016;0,021;
68;67;4;0,076;4;0,019;0,017;0,021;
68;67;5;0,433;1;0,433;0,433;0,433;
68;67;6;0,048;2;0,024;0,023;0,025;
